Geography,Number of hospital beds
Baringo,820
Bomet,845
Bungoma,2038
Busia,1314
Elgeyo-Marakwet,858
Embu,1705
Garissa,864
Homa Bay,2006
Isiolo,694
Kajiado,1445
Kakamega,2464
Kericho,1865
Kiambu,3790
Kilifi,1016
Kirinyaga,1552
Kisii,3108
Kisumu,2956
Kitui,1572
Kwale,521
Laikipia,824
Lamu,233
Machakos,2463
Makueni,1316
Mandera,1154
Marsabit,639
Meru,2239
Migori,2792
Mombasa,1839
Murang'a,997
Nairobi,9504
Nakuru,3144
Nandi,839
Narok,1170
Nyamira,1121
Nyandarua,588
Nyeri,2175
Samburu,590
Siaya,1475
Taita Taveta,443
Tana River,319
Tharaka-Nithi,1016
Trans Nzoia,853
Turkana,869
Uasin Gishu,2216
Vihiga,874
Wajir,601
West Pokot,557
Kenya,74283